Item Name,SKU,Sales Description,Selling Price,Is Returnable Item,Brand,Manufacturer,UPC,EAN,ISBN,Part Number,Product Type,Sales Account,Unit,Purchase Description,Purchase Price,Item Type,Purchase Account,Inventory Account,Reorder Level,Preferred Vendor,Opening Stock,Opening Stock Value,Package Weight,Package Length,Package Width,Package Height,Weight unit,Dimension unit,Warehouse Name
Bose 321 Series II DVD Home Entertainment System - Subwoofer,00014-P-3,Bose 321 Series II DVD Home Entertainment System - Subwoofer,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System - Subwoofer,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System - Complete Cables,00014-P-4,Bose 321 Series II DVD Home Entertainment System - Complete Cables,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System - Complete Cables,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System - Subwoofer - Acoustimass Module New,00014-P-5-N,Bose 321 Series II DVD Home Entertainment System - Subwoofer - Acoustimass Module New,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System - Subwoofer - Acoustimass Module New,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 321 Series II DVD Home Entertainment System - Subwoofer - Acoustimass Module,00014-P-5,Bose 321 Series II DVD Home Entertainment System - Subwoofer - Acoustimass Module,,False,,,,,,,goods,Sales,pcs,Bose 321 Series II DVD Home Entertainment System - Subwoofer - Acoustimass Module,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Companion 2 Multimedia Speaker System,00015,Bose Companion 2 Multimedia Speaker System,,False,,,,,,,goods,Sales,pcs,Bose Companion 2 Multimedia Speaker System,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Companion 2 Multimedia Speaker System - 12V Power Adapter,00015-P-1,Bose Companion 2 Multimedia Speaker System - 12V Power Adapter,,False,,,,,,,goods,Sales,pcs,Bose Companion 2 Multimedia Speaker System - 12V Power Adapter,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose Companion 2 Multimedia Speaker System - Bluetooth Upgrade Kit,00015-P-2,Bose Companion 2 Multimedia Speaker System - Bluetooth Upgrade Kit,,False,,,,,,,goods,Sales,pcs,Bose Companion 2 Multimedia Speaker System - Bluetooth Upgrade Kit,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 141 Bookshelf Speakers,00016,Bose 141 Bookshelf Speakers,,False,,,,,,,goods,Sales,pcs,Bose 141 Bookshelf Speakers,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 141 Bookshelf Speakers Black,00016-BK,Bose 141 Bookshelf Speakers Black,,False,,,,,,,goods,Sales,pcs,Bose 141 Bookshelf Speakers Black,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
Bose 141 Bookshelf Speakers Grey,00016-GY,Bose 141 Bookshelf Speakers Grey,,False,,,,,,,goods,Sales,pcs,Bose 141 Bookshelf Speakers Grey,,Inventory,Cost of Goods Sold,Inventory Asset,,,,,,,,,kg,cm,
