"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in USD, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time: posted date/time of the transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,Transaction Status,Transaction Release Date
"Apr 19, 2026 7:00:54 PM PDT",26158739451,Refund,111-4747752-9785861,NV-6VNP-5YFT,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",1,amazon.com,Standard Orders,Amazon,FORT WORTH,TX,76107,MarketplaceFacilitator,-27.88,-2.3,0,0,0,0,0,0,0,0,2.3,3.34,0,0,0,-24.54,Released,"Apr 27, 2026 3:54:33 AM PDT"
"Apr 19, 2026 7:14:32 PM PDT",26158739451,Refund,111-8089952-3311446,XL-UBU2-AJZD,Wii Rock Band Wireless Guitar,1,amazon.com,Standard Orders,Seller,DEARBORN,MI,48120,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,-35,Released,"Apr 19, 2026 7:14:32 PM PDT"
"Apr 19, 2026 8:56:37 PM PDT",26293156651,Order,112-9047463-3130631,EC-HMR0-MS5T,Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input) Black,1,amazon.com,Standard Orders,Amazon,LAKE JACKSON,TX,77566,MarketplaceFacilitator,166,13.7,4.49,0,0,0,0,0,-4.49,0,-13.7,-13.28,-8,0,0,144.72,Released,"Apr 29, 2026 9:58:33 PM PDT"
"Apr 19, 2026 9:01:18 PM PDT",26158739451,Order,112-3181121-4522667,AH-GZU6-NKEM,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",1,amazon.com,Standard Orders,Amazon,Pottsville,PA,17901,MarketplaceFacilitator,27.88,1.5,2.99,0,0,0,0,0,-5.78,0,-1.5,-3.76,-4.2,0,0,17.13,Released,"Apr 27, 2026 5:50:48 AM PDT"
"Apr 19, 2026 9:40:51 PM PDT",26293156651,Order,113-7023187-2424225,CZ-G5NU-3JFT,USAV OEM Bluetooth Adapter for Bose Lifestyle | Bose 321,1,amazon.com,Standard Orders,Amazon,LANCASTER,CA,93534,MarketplaceFacilitator,27.88,3.14,0,0,0,0,0,0,0,0,-3.14,-4.18,-3.97,0,0,19.73,Released,"May 1, 2026 5:33:49 PM PDT"
"Apr 19, 2026 10:15:07 PM PDT",26158739451,Order,111-6783654-3195460,NA-SZ9C-0XMT,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",1,amazon.com,Standard Orders,Amazon,FRESNO,CA,93720,MarketplaceFacilitator,27.88,2.33,2.99,0,0,0,0,0,-2.99,0,-2.33,-4.18,-3.65,0,0,20.05,Released,"Apr 27, 2026 5:31:38 AM PDT"
"Apr 19, 2026 10:31:29 PM PDT",26158739451,Order,112-4906689-0352247,NA-SZ9C-0XMT,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",1,amazon.com,Standard Orders,Amazon,HAILEY,ID,83333,MarketplaceFacilitator,27.88,1.67,0,0,0,0,0,0,0,0,-1.67,-4.18,-3.65,0,0,20.05,Released,"Apr 27, 2026 2:15:56 PM PDT"
"Apr 19, 2026 10:47:03 PM PDT",26293156651,Order,114-9353266-7806614,AH-GZU6-NKEM,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",1,amazon.com,Standard Orders,Amazon,KINGS MOUNTAIN,NC,28086,MarketplaceFacilitator,27.88,1.88,0,0,0,0,0,0,0,0,-1.88,-4.18,-4.2,0,0,19.5,Released,"Apr 28, 2026 3:13:13 AM PDT"
"Apr 20, 2026 12:13:44 AM PDT",26293156651,Order,113-7099880-0737045,1O-XHCK-LBJ7,Bose 161 Speaker System (Black) - Ideal for Stereo or Home Theater use,1,amazon.com,Standard Orders,Amazon,SCOTTSDALE,AZ,85251,MarketplaceFacilitator,116,9.28,0,0,0,0,0,0,0,0,-9.28,-9.28,-8.99,0,0,97.73,Released,"May 2, 2026 11:29:19 PM PDT"
"Apr 20, 2026 12:23:28 AM PDT",26293156651,Order,114-0065156-2829019,NA-SZ9C-0XMT,"USAV OEM Bluetooth Adapter for Bose Wave Music System II III IV AWRCC1, AWRCC2",1,amazon.com,Standard Orders,Amazon,NEWNAN,GA,30263,MarketplaceFacilitator,27.88,2.01,0,0,0,0,0,0,-2.79,0,-2.01,-3.76,-3.65,0,0,17.68,Released,"Apr 28, 2026 1:23:15 AM PDT"
"Apr 20, 2026 1:06:20 AM PDT",26293156651,Order,112-7273098-4560232,BN-L3PT-JVXD,"Bose Wave Music System CD Player, AM/FM Radio (Graphite Gray) - USAV Bundle with Bluetooth Adapter",1,amazon.com,Standard Orders,Seller,BROWNSVILLE,TX,78521,MarketplaceFacilitator,368,23,14.89,0.93,0,0,0,0,0,0,-23.93,-30.63,0,-0.1,0,352.16,Released,"May 1, 2026 3:15:52 AM PDT"
"Apr 20, 2026 1:06:20 AM PDT",26293156651,Order,114-7219395-6312261,04905-LN,"Bose Surround Speakers 700, White",1,amazon.com,Standard Orders,Seller,ISLAMORADA,FL,33036,MarketplaceFacilitator,698,52.35,10.89,0,0,0,0,0,0,0,-52.35,-56.71,0,-0.1,0,652.08,Released,"May 8, 2026 2:47:03 AM PDT"
"Apr 20, 2026 1:06:26 AM PDT",26293156651,Order,111-8808037-7401864,4900,"Bose Smart Ultra Dolby Atmos Soundbar, All-in-One Surround Sound System for TV, A.I. Dialogue Mode, Alexa and Google Voice Control, HDMI eARC, White",1,amazon.com,Standard Orders,Seller,MIAMI,FL,33135,MarketplaceFacilitator,886,62.02,26.12,0,0,0,0,0,0,0,-62.02,-72.97,0,-0.1,0,839.05,Released,"Apr 30, 2026 4:39:32 AM PDT"
"Apr 20, 2026 1:06:35 AM PDT",26293156651,Order,112-1115361-4525034,HY-BIWO-NIHJ,"USAV Solutions Magnetic Portable Bluetooth Speaker, True Wireless Stereo, IPX6 Water Protection, Compatible with iPhone 17/16/15/14",1,amazon.com,Standard Orders,Seller,MIAMI,FL,33135,MarketplaceFacilitator,21.88,1.3,0,0,0,0,0,0,-3.28,0,-1.3,-2.79,0,-0.1,0,15.71,Released,"May 1, 2026 7:54:50 AM PDT"
"Apr 20, 2026 1:06:40 AM PDT",26293156651,Order,114-1496498-9846605,5003,Replacement Bose Single Cube Speaker for Bose Lifestyle Acoustimass Home Theater Speaker System,2,amazon.com,Standard Orders,Seller,NICHOLLS,GA,31554,MarketplaceFacilitator,77.76,6.22,9.39,0.76,0,0,0,0,0,0,-6.98,-6.98,0,-0.2,0,79.97,Released,"May 2, 2026 2:12:49 PM PDT"
"Apr 20, 2026 1:06:46 AM PDT",26158739451,Shipping Services,112-7273098-4560232,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.4,-13.4,Released,"Apr 20, 2026 1:06:46 AM PDT"
"Apr 20, 2026 1:06:46 AM PDT",26158739451,Shipping Services,114-1496498-9846605,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.96,-10.96,Released,"Apr 20, 2026 1:06:46 AM PDT"
"Apr 20, 2026 1:06:47 AM PDT",26158739451,Shipping Services,114-7219395-6312261,,Shipping Label Purchased through Amazon,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.63,-20.63,Released,"Apr 20, 2026 1:06:47 AM PDT"
