variant_full_sku,variant_name,platform,external_ref_id,listed_name
00022-GR,Bose Companion 3 Series II Multimedia Speaker System Graphite,AMAZON,B000HZBR64,Bose Companion 3 Series II multimedia speaker system (Graphite/Silver)
00022-SV,Bose Companion 3 Series II Multimedia Speaker System,ECWID,01825,Bose Companion 3 Series II multimedia speaker system (Graphite/Silver)
00023,Bose Companion 2 Series II Multimedia Speaker System,AMAZON,B000HZDF8W,Bose Companion 2 Series II Multimedia Speaker System
00023,Bose Companion 2 Series II Multimedia Speaker System,ECWID,04898,Bose Companion 2 Series II Multimedia Speaker System
00023-P-3,Bose Companion 2 Series II Multimedia Speaker System - Replacement Bose Speaker Drive ( Pair ),ECWID,696584309,Replacement Bose Speaker Drive for Bose Companion 2 Series II (Pair)
00024,Bose SL2 Wireless Surround Link,AMAZON,B000I5PGLU,Bose (40390) SL2 wireless surround link
00024,Bose SL2 Wireless Surround Link,EBAY_MEKONG,157204258105,Bose SL2 Wireless Surround Link System for Lifestyle and Acoustimass
00024,Bose SL2 Wireless Surround Link,EBAY_USAV,362754992473,Bose SL2 wireless surround link For Lifestyle and Acoustimass Surround Speakers
00024,Bose SL2 Wireless Surround Link,EBAY_DRAGON,267458993073,Bose 40390 SL2 Wireless Surround Link for Lifestyle Acoustimass Systems
00024,Bose SL2 Wireless Surround Link,ECWID,00093,Bose (40390) SL2 wireless surround link
00025-GR,Bose Companion 5 Multimedia Speaker System Graphite,AMAZON,B000IE8Z4Q,Bose Companion 5 Multimedia Speaker System - Graphite/Silver
00025-P-1,Bose Companion 5 Multimedia Speaker System - Subwoofer Only,EBAY_MEKONG,157329035297,Bose Companion 5 Multimedia Speaker System Subwoofer Only
00025-P-3,Bose Companion 5 Multimedia Speaker System - Control Pod,EBAY_DRAGON,267453993413,BOSE Control Pod for Companion 5
00025-P-3,Bose Companion 5 Multimedia Speaker System - Control Pod,ECWID,01101,BOSE Control Pod for Companion 5
00025-P-4,Bose Companion 5 Multimedia Speaker System - Bluetooth Upgrade Kit,EBAY_USAV,365276659928,USAV Bluetooth Upgrade Kit for  Bose Companion 5
00025-SV,Bose Companion 5 Multimedia Speaker System - Silver,EBAY_DRAGON,257191637659,Bose Companion 5 Multimedia Speaker System - Graphite/Silver
00025-SV,Bose Companion 5 Multimedia Speaker System - Silver,ECWID,01824,Bose Companion 5 Multimedia Speaker System � Graphite/Silver
00026-BK,Bose Lifestyle 18 Series III Home Entertainment System Black,AMAZON,B000KRNFDW,Bose Lifestyle 18 Black Series III DVD Home Entertainment System
00026-BK,Bose Lifestyle 18 Series III Home Entertainment System Black,ECWID,00928,Bose Lifestyle 18 Black Series III DVD Home Entertainment System
00027-WH,Bose Lifestyle V30 Home Theater System White,AMAZON,B000UQSQP0,BOSE(R) Lifestyle V30 Home Theater System - White
00027-WH,Bose Lifestyle V30 Home Theater System White,ECWID,00854-1,BOSE(R) Lifestyle V30 Home Theater System - White
00029,Bose Sounddock Portable Digital Music System,AMAZON,B000V2FJAS,Bose SoundDock Portable 30-Pin iPod/iPhone Speaker Dock
00029,Bose Sounddock Portable Digital Music System,EBAY_MEKONG,155600344332,Bose SoundDock Portable 30-Pin iPod/iPhone Speaker Dock1
00029,Bose Sounddock Portable Digital Music System,ECWID,00113,Bose SoundDock Portable 30-Pin iPod/iPhone Speaker Dock
00029-BK,Bose Sounddock Portable Digital Music System Black,AMAZON,B000V2HENS,Bose Sounddock Portable Black Digital Music System for the iPod
00029-BK,Bose Sounddock Portable Digital Music System Black,EBAY_USAV,13-14659-97232,Bose SoundDock Portable 30-Pin iPod/iPhone Speaker Dock1
00029-WH,Bose Sounddock Portable Digital Music System White,EBAY_DRAGON,267453873768,Bose Sounddock Portable Black Digital Music System for the iPod
00030-BK,Bose Lifestyle 35 Series IV DVD Home Entertainment System Black,AMAZON,B000V8EY9Y,Bose(R LS35IV-BK Lifestyle 35 Series IV DVD Home Entertainment System - Black
00030-BK,Bose Lifestyle 35 Series IV DVD Home Entertainment System Black,EBAY_DRAGON,257191553212,Bose Lifestyle 35 Series IV DVD Home Entertainment System - Black LS35IV-BK
00030-BK,Bose Lifestyle 35 Series IV DVD Home Entertainment System Black,ECWID,00796,Bose(R LS35IV-BK Lifestyle 35 Series IV DVD Home Entertainment System - Black
00031,Bose Wave Music System,AMAZON,B0CZTWBCX9,Bose Wave Music System integrated stereo system
00031,Bose Wave Music System,EBAY_MEKONG,157551309433,BOSE Wave Music System Laser Lens AWRCC1 AWRCC5 AWRCC7 AWRCC8 Optical Pick-up
00031,Bose Wave Music System,EBAY_USAV,364231630515,BOSE Wave Music System AWRCC1 AWRCC5 AWRCC7 AWRCC8 Laser Lens Lasereinheit Optic
00031,Bose Wave Music System,EBAY_DRAGON,267084923072,Bose Wave Music System AM/FM CD Player Clock Radio Bluetooth Remote AWRCC1
00031,Bose Wave Music System,ECWID,01360,BOSE Wave Music System AWRCC1 AWRCC5 AWRCC7 AWRCC8 Laser Lens Lasereinheit Optical Pick-ups Bloc Optique
00031-BG,Bose Wave Music System,AMAZON,B00EAN9WYI,Wave� Multi-CD Changer � Limited-Edition Burgundy
00031-CR,Bose Wave Music System Cream,EBAY_DRAGON,266968345932,Bose Wave Music System CD Player AM/FM Bluetooth - AWRCC2 -CREAM - FREE SHIPPING
00031-GY,Bose Wave Music System - Graphite Grey,AMAZON,114-3101712-0877848,Bose Wave Music System (Graphite Gray) (Renewed)
00031-GY,Bose Wave Music System - Graphite Grey,AMAZON,BN-L3PT-JVXD,"Bose Wave Music System CD Player, AM/FM Radio (Graphite Gray) - USAV Bundle with Bluetooth Adapter"
00031-GY,Bose Wave Music System - Graphite Grey,EBAY_USAV,364832385004,Bose Wave Music System (Graphite Gray) - CD MP3 Player AM/FM -  FREE SHIPPING
00031-GY,Bose Wave Music System - Graphite Grey,EBAY_DRAGON,266755209622,Bose Wave Music System (Graphite Gray) - ASIN: B0002ZLYYY
00031-P-1-CW,Bose Wave Music System - Multi-CD Changer - Cream White,EBAY_DRAGON,256562395475,"Bose Wave Multi-CD Changer, Graphite Gray (for Wave music system IV)"
00031-P-1-GY,Bose Wave Music System - Multi-CD Changer Grey,AMAZON,,Bose Wave Multi CD Changer - Graphite Grey
00031-P-1-GY,Bose Wave Music System - Multi-CD Changer Grey,EBAY_USAV,364273046966,"Bose Wave Multi-CD Changer, Graphite Gray (for Wave music system III)"
00031-P-1-GY,Bose Wave Music System - Multi-CD Changer Grey,EBAY_DRAGON,256016583517,"Bose Wave Multi-CD Changer, Graphite Gray (for Wave music system III)"
00031-P-1-GY,Bose Wave Music System - Multi-CD Changer Grey,ECWID,01674,"Bose Wave Multi-CD Changer, Graphite Gray for Bose Wave Music System III"
00031-P-1-SV,Bose Wave Music System - Multi-CD Changer - Silver,AMAZON,B001BNFOYW,"Bose� Wave� Music System Multi-CD Changer, Titanium Silver"
00031-P-1-SV,Bose Wave Music System - Multi-CD Changer - Silver,EBAY_DRAGON,256454168240,Bose Wave Music System Multi-CD Changer Titanium Silver  In ORIGINAL BOX
00031-P-1-SV,Bose Wave Music System - Multi-CD Changer - Silver,ECWID,00977-S,"Bose Wave Music System Multi-CD Changer, Titanium Silver"
